,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,9284 JP Equity,7600.0,1.650387780851931,44043.0,8114813.19,USD,0.0,AWP US Equity,9284 JP Equity,Canadian Solar Infrastructure,9284
2,8802 JP Equity,297000.0,0.8677172609992228,44043.0,4266490.31,USD,0.0,AWP US Equity,8802 JP Equity,Mitsubishi Estate Co Ltd,8802
3,8976 JP Equity,854.0,0.9105754768277822,44043.0,4477220.43,USD,0.0,AWP US Equity,8976 JP Equity,Daiwa Office Investment Corp,8976
4,3281 JP Equity,3275.0,1.110954800864488,44043.0,5462468.14,USD,0.0,AWP US Equity,3281 JP Equity,GLP J-Reit,3281
5,3298 JP Equity,26424.0,0.6340286555324529,44043.0,3117463.76,USD,0.0,AWP US Equity,3298 JP Equity,Invesco Office J-Reit Inc,3298
6,8987 JP Equity,2696.0,0.5792967356944406,44043.0,2848351.67,USD,0.0,AWP US Equity,8987 JP Equity,Japan Excellent Inc,8987
7,8952 JP Equity,527.0,0.5468746043868786,44043.0,2688934.87,USD,0.0,AWP US Equity,8952 JP Equity,Japan Real Estate Investment C,8952
8,8830 JP Equity,76300.0,0.3957368488608229,44043.0,1945803.67,USD,76300.0,AWP US Equity,8830 JP Equity,Sumitomo Realty & Development,8830
9,8960 JP Equity,2318.0,0.4584551434287636,44043.0,2254184.07,USD,2318.0,AWP US Equity,8960 JP Equity,United Urban Investment Corp,8960
10,3295 JP Equity,1720.0,0.4115888396259551,44043.0,2023746.53,USD,1720.0,AWP US Equity,3295 JP Equity,Hulic Reit Inc,3295
11,3282 JP Equity,805.0,0.512800617546249,44043.0,2521396.04,USD,0.0,AWP US Equity,3282 JP Equity,Comforia Residential REIT Inc,3282
12,3466 JP Equity,1452.0,0.5376993699069051,44043.0,2643821.04,USD,0.0,AWP US Equity,3466 JP Equity,LaSalle Logiport REIT,3466
13,8986 JP Equity,2236.0,0.4598509704351069,44043.0,2261047.23,USD,0.0,AWP US Equity,8986 JP Equity,Daiwa Securities Living Invest,8986
14,823 HK Equity,1221100.0,1.92694150688602,44043.0,9474603.81,USD,0.0,AWP US Equity,823 HK Equity,Link REIT,823
15,16 HK Equity,576500.0,1.425950048786845,44043.0,7011272.38,USD,0.0,AWP US Equity,16 HK Equity,Sun Hung Kai Properties Ltd,16
16,CATE SS Equity,151278.0,1.264972530045462,44043.0,6219759.92,USD,0.0,AWP US Equity,CATE SS Equity,Catena AB,CATE
17,1109 HK Equity,1452443.0,1.231189428967963,44043.0,6053651.35,USD,0.0,AWP US Equity,1109 HK Equity,China Resources Land Ltd,1109
18,ENTRA NO Equity,234059.0,0.6720046170204446,44043.0,3304188.26,USD,0.0,AWP US Equity,ENTRA NO Equity,Entra ASA,ENTRA
19,TERRA13 MM Equity,1277563.0,0.3245689681975132,44043.0,1595877.39,USD,0.0,AWP US Equity,TERRA13 MM Equity,PLA Administradora Industrial,TERRA13
20,960 HK Equity,828496.0,0.8327291436931207,44043.0,4094456.78,USD,0.0,AWP US Equity,960 HK Equity,Longfor Group Holdings Ltd,960
21,1821 HK Equity,1454516.0,0.7294954284450229,44043.0,3586865.58,USD,704200.0,AWP US Equity,1821 HK Equity,ESR Cayman Ltd,1821
22,813 HK Equity,1216352.0,1.049720406855758,44043.0,5161383.95,USD,0.0,AWP US Equity,813 HK Equity,Shimao Group Holdings Ltd,813
23,FIBRAMQ MM Equity,1261095.0,0.2956072275627326,44043.0,1453475.03,USD,0.0,AWP US Equity,FIBRAMQ MM Equity,Macquarie Mexico Real Estate M,FIBRAMQ
24,1918 HK Equity,1083000.0,1.038582719524929,44043.0,5106620.91,USD,0.0,AWP US Equity,1918 HK Equity,Sunac China Holdings Ltd,1918
25,PNDXB SS Equity,214207.0,0.5499769838465255,44043.0,2704189.0,USD,30754.0,AWP US Equity,PNDXB SS Equity,Pandox AB,PNDXB
26,PLD US Equity,277913.0,5.958532977986217,44043.0,29297588.46,USD,0.0,AWP US Equity,PLD US Equity,Prologis Inc,PLD
27,VESTA* MM Equity,705409.0,0.2157628074305862,44043.0,1060886.96,USD,0.0,AWP US Equity,VESTA* MM Equity,Corp Inmobiliaria Vesta SAB de,VESTA*
28,FABG SS Equity,208195.0,0.5430495316487887,44043.0,2670127.32,USD,0.0,AWP US Equity,FABG SS Equity,Fabege AB,FABG
29,1233 HK Equity,1862224.0,0.6711129152616118,44043.0,3299803.84,USD,0.0,AWP US Equity,1233 HK Equity,Times China Holdings Ltd,1233
30,3380 HK Equity,1592032.0,0.5611278298400272,44043.0,2759016.74,USD,0.0,AWP US Equity,3380 HK Equity,Logan Group Co Ltd,3380
31,884 HK Equity,2701122.0,0.4938263893334733,44043.0,2428101.41,USD,0.0,AWP US Equity,884 HK Equity,CIFI Holdings Group Co Ltd,884
32,ARE US Equity,91933.0,3.319705685008024,44043.0,16322704.15,USD,0.0,AWP US Equity,ARE US Equity,Alexandria Real Estate Equitie,ARE
33,WELL US Equity,230757.0,2.513639113767742,44043.0,12359344.92,USD,0.0,AWP US Equity,WELL US Equity,Welltower Inc,WELL
34,EQIX US Equity,20234.0,3.232394433603927,44043.0,15893402.32,USD,0.0,AWP US Equity,EQIX US Equity,Equinix Inc,EQIX
35,MGP US Equity,426811.0,2.373239603893027,44043.0,11669012.74,USD,0.0,AWP US Equity,MGP US Equity,MGM Growth Properties LLC,MGP
36,VNA GR Equity,233019.0,3.063177796187067,44043.0,15061378.83,USD,0.0,AWP US Equity,VNA GR Equity,Vonovia SE,VNA
37,DRE US Equity,342012.0,2.795547162691137,44043.0,13745462.28,USD,0.0,AWP US Equity,DRE US Equity,Duke Realty Corp,DRE
38,INVH US Equity,410992.0,2.492576410544317,44043.0,12255781.44,USD,0.0,AWP US Equity,INVH US Equity,Invitation Homes Inc,INVH
39,ELS US Equity,170984.0,2.375805063138301,44043.0,11681626.88,USD,0.0,AWP US Equity,ELS US Equity,Equity LifeStyle Properties In,ELS
40,AMT US Equity,43308.0,2.302314082610874,44043.0,11320278.12,USD,0.0,AWP US Equity,AMT US Equity,American Tower Corp,AMT
41,CYRE3 BZ Equity,311315.0,0.3328063439094789,44043.0,1636379.85,USD,0.0,AWP US Equity,CYRE3 BZ Equity,Cyrela Brazil Realty SA Empree,CYRE3
42,CHC AU Equity,623319.0,0.9450703415618994,44043.0,4646828.68,USD,0.0,AWP US Equity,CHC AU Equity,Charter Hall Group,CHC
43,PSA US Equity,39087.0,1.588946053503551,44043.0,7812709.56,USD,5398.0,AWP US Equity,PSA US Equity,Public Storage,PSA
44,AVB US Equity,49767.0,1.549818552429355,44043.0,7620323.04,USD,-8303.0,AWP US Equity,AVB US Equity,AvalonBay Communities Inc,AVB
45,DLR US Equity,63438.0,2.07128668955743,44043.0,10184336.52,USD,0.0,AWP US Equity,DLR US Equity,Digital Realty Trust Inc,DLR
46,AP-U CN Equity,193674.0,1.179519025552437,44043.0,5799592.47,USD,0.0,AWP US Equity,AP-U CN Equity,Allied Properties Real Estate,AP-U
47,O US Equity,127417.0,1.556137112425907,44043.0,7651390.85,USD,0.0,AWP US Equity,O US Equity,Realty Income Corp,O
48,SPG US Equity,87665.0,1.111655364404362,44043.0,5465912.75,USD,0.0,AWP US Equity,SPG US Equity,Simon Property Group Inc,SPG
49,CICT SP Equity,3774004.0,1.060855651597117,44043.0,5216134.98,USD,0.0,AWP US Equity,CICT SP Equity,CapitaLand Integrated Commerci,CICT
50,UDR US Equity,178064.0,1.310968234760827,44043.0,6445916.8,USD,-14171.0,AWP US Equity,UDR US Equity,UDR Inc,UDR
51,MGR AU Equity,2658861.0,0.8047061933050966,44043.0,3956670.37,USD,0.0,AWP US Equity,MGR AU Equity,Mirvac Group,MGR
52,OHI US Equity,186144.0,1.225838789283927,44043.0,6027342.72,USD,0.0,AWP US Equity,OHI US Equity,Omega Healthcare Investors Inc,OHI
53,MULT3 BZ Equity,278893.0,0.2298617429878527,44043.0,1130210.2,USD,0.0,AWP US Equity,MULT3 BZ Equity,Multiplan Empreendimentos Imob,MULT3
54,GLPI US Equity,152698.0,1.12452560017401,44043.0,5529194.58,USD,1848.0,AWP US Equity,GLPI US Equity,Gaming and Leisure Properties,GLPI
55,SGRO LN Equity,685588.0,1.765834325489296,44043.0,8682453.81,USD,78600.0,AWP US Equity,SGRO LN Equity,Segro PLC,SGRO
56,HIW US Equity,153924.0,1.200233992302113,44043.0,5901446.16,USD,0.0,AWP US Equity,HIW US Equity,Highwoods Properties Inc,HIW
57,GPT AU Equity,1258211.0,0.7081227827862495,44043.0,3481778.14,USD,0.0,AWP US Equity,GPT AU Equity,GPT Group/The,GPT
58,DXS AU Equity,599828.0,0.7405421155899726,44043.0,3641181.18,USD,0.0,AWP US Equity,DXS AU Equity,Dexus,DXS
59,AREIT SP Equity,1952300.0,1.027770364366767,44043.0,5053457.5,USD,812700.0,AWP US Equity,AREIT SP Equity,Ascendas Real Estate Investmen,AREIT
60,HPP US Equity,217361.0,1.041954318714716,44043.0,5123198.77,USD,0.0,AWP US Equity,HPP US Equity,Hudson Pacific Properties Inc,HPP
