,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,LKOH RM Equity,177210.0,1.591743359664595,44104.0,10239354.88,USD,8000.0,BCX US Equity,LKOH RM Equity,LUKOIL PJSC,LKOH
2,SALM NO Equity,214325.0,1.888220168925372,44104.0,12146528.7,USD,51116.0,BCX US Equity,SALM NO Equity,Salmar ASA,SALM
3,883 HK Equity,8983000.0,1.343203839841288,44104.0,8640551.7,USD,-667000.0,BCX US Equity,883 HK Equity,CNOOC Ltd,883
4,JBSS3 BZ Equity,2743503.0,1.569737385098013,44104.0,10097795.01,USD,0.0,BCX US Equity,JBSS3 BZ Equity,JBS SA,JBSS3
5,LUNE SS Equity,225000.0,0.6936230107837215,44104.0,4461932.96,USD,225000.0,BCX US Equity,LUNE SS Equity,Lundin Energy AB,LUNE
6,VALE US Equity,2735603.0,4.499240316109057,44104.0,28942679.74,USD,280124.0,BCX US Equity,VALE US Equity,Vale SA,VALE
7,CVX US Equity,440200.0,4.927004809364859,44104.0,31694400.0,USD,70600.0,BCX US Equity,CVX US Equity,Chevron Corp,CVX
8,BHP LN Equity,1903657.0,6.313414282896661,44104.0,40612884.58,USD,0.0,BCX US Equity,BHP LN Equity,BHP Group PLC,BHP
9,FP FP Equity,981508.0,5.239946809849141,44104.0,33707490.98,USD,43650.0,BCX US Equity,FP FP Equity,TOTAL SE,FP
10,CF US Equity,898055.0,4.28729337826611,44104.0,27579269.05,USD,-12900.0,BCX US Equity,CF US Equity,CF Industries Holdings Inc,CF
11,BP US Equity,1375877.0,3.73442981497709,44104.0,24022812.42,USD,165630.0,BCX US Equity,BP US Equity,BP PLC,BP
12,ABX CN Equity,929437.0,4.061451341392684,44104.0,26126474.07,USD,0.0,BCX US Equity,ABX CN Equity,Barrick Gold Corp,ABX
13,FMC US Equity,231787.0,3.816159288315205,44104.0,24548561.17,USD,0.0,BCX US Equity,FMC US Equity,FMC Corp,FMC
