,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EPD US Equity,1873208.0,14.52506037667112,44134.0,31039056.56,USD,0.0,CEM US Equity,EPD US Equity,Enterprise Products Partners L,EPD
2,MPLX US Equity,1686071.0,13.57894918277879,44134.0,29017281.91,USD,0.0,CEM US Equity,MPLX US Equity,MPLX LP,MPLX
3,ET US Equity,4401462.0,10.60751415030965,44134.0,22667529.3,USD,0.0,CEM US Equity,ET US Equity,Energy Transfer LP,ET
4,MMP US Equity,659481.0,10.96804302173626,44134.0,23437954.74,USD,0.0,CEM US Equity,MMP US Equity,Magellan Midstream Partners LP,MMP
5,WMB US Equity,1129821.0,10.14598115808053,44134.0,21681264.99,USD,0.0,CEM US Equity,WMB US Equity,Williams Cos Inc/The,WMB
6,OKE US Equity,647178.0,8.78276328026204,44134.0,18768162.0,USD,0.0,CEM US Equity,OKE US Equity,ONEOK Inc,OKE
7,JTSXX US Equity,23776008.11,11.12623873236604,44134.0,23776008.11,USD,9076763.730000004,CEM US Equity,JTSXX US Equity,JPMorgan 100% US Treasury Secu,JTSXX
8,ENB CN Equity,528940.0,6.821738353961742,44134.0,14577586.4,USD,0.0,CEM US Equity,ENB CN Equity,Enbridge Inc,ENB
9,TRGP US Equity,847682.0,6.366744650018065,44134.0,13605296.1,USD,0.0,CEM US Equity,TRGP US Equity,Targa Resources Corp,TRGP
10,DCP US Equity,1142482.0,6.827311176936426,44134.0,14589495.14,USD,0.0,CEM US Equity,DCP US Equity,DCP Midstream LP,DCP
11,KMI US Equity,1126060.0,6.270727479362407,44134.0,13400114.0,USD,0.0,CEM US Equity,KMI US Equity,Kinder Morgan Inc,KMI
12,PAA US Equity,1858086.0,5.434445809201033,44134.0,11613037.5,USD,0.0,CEM US Equity,PAA US Equity,Plains All American Pipeline L,PAA
13,WES US Equity,1082321.0,4.127842591112034,44134.0,8820916.15,USD,0.0,CEM US Equity,WES US Equity,Western Midstream Partners LP,WES
14,ENBL US Equity,2498737.0,5.203433308456789,44134.0,11119379.65,USD,0.0,CEM US Equity,ENBL US Equity,Enable Midstream Partners LP,ENBL
15,AM US Equity,1848680.0,4.957078527139267,44134.0,10592936.4,USD,0.0,CEM US Equity,AM US Equity,Antero Midstream Corp,AM
16,TCP US Equity,392544.0,5.171019515326231,44134.0,11050113.6,USD,0.0,CEM US Equity,TCP US Equity,TC PipeLines LP,TCP
17,BPMP US Equity,1105262.0,5.017026639800378,44134.0,10721041.4,USD,0.0,CEM US Equity,BPMP US Equity,BP Midstream Partners LP,BPMP
18,RTLR US Equity,1357000.0,3.727583519239791,44134.0,7965590.0,USD,0.0,CEM US Equity,RTLR US Equity,Rattler Midstream LP,RTLR
19,CQP US Equity,279000.0,4.70672588688821,44134.0,10057950.0,USD,0.0,CEM US Equity,CQP US Equity,Cheniere Energy Partners LP,CQP
20,PAGP US Equity,1219251.0,3.64588875080594,44134.0,7791013.89,USD,0.0,CEM US Equity,PAGP US Equity,Plains GP Holdings LP,PAGP
21,SHLX US Equity,912374.0,3.735858235309656,44134.0,7983272.5,USD,0.0,CEM US Equity,SHLX US Equity,Shell Midstream Partners LP,SHLX
22,PBFX US Equity,931970.0,3.20116033227999,44134.0,6840659.8,USD,0.0,CEM US Equity,PBFX US Equity,PBF Logistics LP,PBFX
23,GEL US Equity,1331323.0,2.616629054352092,44134.0,5591556.6,USD,0.0,CEM US Equity,GEL US Equity,Genesis Energy LP,GEL
24,HEP US Equity,476872.0,2.557383594125492,44134.0,5464953.12,USD,0.0,CEM US Equity,HEP US Equity,Holly Energy Partners LP,HEP
25,ETRN US Equity,523125.0,1.777262306110007,44134.0,3797887.5,USD,0.0,CEM US Equity,ETRN US Equity,Equitrans Midstream Corp,ETRN
26,NBLX US Equity,340912.0,1.271481495169507,44134.0,2717068.64,USD,0.0,CEM US Equity,NBLX US Equity,Noble Midstream Partners LP,NBLX
27,BIP US Equity,63676.0,1.278328584642286,44134.0,2731700.4,USD,0.0,CEM US Equity,BIP US Equity,Brookfield Infrastructure Part,BIP
28,CNX US Equity,0.0,0.0,44134.0,0.0,USD,-1013988.8,CEM US Equity,CNX US Equity,CNX Resources Corp,CNX
29,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
30,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
31,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
32,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
33,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
34,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
35,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
36,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
37,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
38,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
39,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
40,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
41,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
42,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
43,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
44,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
45,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
46,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
47,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
48,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
49,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
50,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
51,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
52,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
53,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
54,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
55,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
56,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
57,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
58,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
59,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
60,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
61,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
62,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
63,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
64,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
65,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
66,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
67,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
68,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
69,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
70,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
71,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
72,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
73,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
74,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security
