,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,MSFT US Equity,197176.0,3.171965737532781,44104.0,41472028.08,USD,0.0,NFJ US Equity,MSFT US Equity,Microsoft Corp,MSFT
2,TMO US Equity,50642.0,1.710150940714671,44104.0,22359455.84,USD,0.0,NFJ US Equity,TMO US Equity,Thermo Fisher Scientific Inc,TMO
3,NEE US Equity,302728.0,1.606655232827829,44104.0,21006295.92,USD,0.0,NFJ US Equity,NEE US Equity,NextEra Energy Inc,NEE
4,AVGO US Equity,53197.0,1.482324778248898,44104.0,19380731.04,USD,0.0,NFJ US Equity,AVGO US Equity,Broadcom Inc,AVGO
5,JPM US Equity,163500.0,1.203876515213768,44104.0,15740145.0,USD,0.0,NFJ US Equity,JPM US Equity,JPMorgan Chase & Co,JPM
6,GOOGL US Equity,10640.0,1.192697469827581,44104.0,15593984.0,USD,0.0,NFJ US Equity,GOOGL US Equity,Alphabet Inc,GOOGL
7,MCD US Equity,91734.0,1.539991356245484,44104.0,20134695.66,USD,-6760.0,NFJ US Equity,MCD US Equity,McDonald's Corp,MCD
8,EK098924     Corp,2145.0,0.9769838922568654,44104.0,12773625.81,USD,-950.0,NFJ US Equity,EK098924     Corp,TSLA 1 ¼ 03/01/21,TSLA
9,LMT US Equity,46267.0,1.356315459144923,44104.0,17733215.76,USD,0.0,NFJ US Equity,LMT US Equity,Lockheed Martin Corp,LMT
10,HD US Equity,61228.0,1.300513322981844,44104.0,17003627.88,USD,0.0,NFJ US Equity,HD US Equity,Home Depot Inc/The,HD
11,HON US Equity,79373.0,0.999314580176351,44104.0,13065589.53,USD,0.0,NFJ US Equity,HON US Equity,Honeywell International Inc,HON
12,AMZN US Equity,5076.0,1.222447591068962,44104.0,15982953.48,USD,-240.0,NFJ US Equity,AMZN US Equity,Amazon.com Inc,AMZN
13,NFLX US Equity,31886.0,1.219464934169922,44104.0,15943956.58,USD,-2530.0,NFJ US Equity,NFLX US Equity,Netflix Inc,NFLX
14,AM464129     Corp,7910.0,0.93360503999282,44104.0,12206466.79,USD,0.0,NFJ US Equity,AM464129     Corp,MCHP 1 ⅝ 02/15/27,MCHP
15,ADBE US Equity,32426.0,1.216308160394138,44104.0,15902683.18,USD,0.0,NFJ US Equity,ADBE US Equity,Adobe Inc,ADBE
16,MSCI US Equity,37313.0,1.018201852738617,44104.0,13312532.14,USD,1650.0,NFJ US Equity,MSCI US Equity,MSCI Inc,MSCI
17,MKTX US Equity,28405.0,1.04627408310215,44104.0,13679563.95,USD,1320.0,NFJ US Equity,MKTX US Equity,MarketAxess Holdings Inc,MKTX
18,SYK US Equity,62667.0,0.9987281936955243,44104.0,13057922.79,USD,0.0,NFJ US Equity,SYK US Equity,Stryker Corp,SYK
19,TRU US Equity,154138.0,0.9918221936804851,44104.0,12967629.94,USD,0.0,NFJ US Equity,TRU US Equity,TransUnion,TRU
20,MRK US Equity,174045.0,1.104208676419247,44104.0,14437032.75,USD,0.0,NFJ US Equity,MRK US Equity,Merck & Co Inc,MRK
21,BAC US Equity,473266.0,0.8719976590073496,44104.0,11400977.94,USD,0.0,NFJ US Equity,BAC US Equity,Bank of America Corp,BAC
22,AWK US Equity,88775.0,0.9837218819145725,44104.0,12861722.0,USD,0.0,NFJ US Equity,AWK US Equity,American Water Works Co Inc,AWK
23,CCI US Equity,78312.0,0.9972769170991451,44104.0,13038948.0,USD,0.0,NFJ US Equity,CCI US Equity,Crown Castle International Cor,CCI
24,AAPL US Equity,105412.0,0.933704234985552,44104.0,12207763.72,USD,0.0,NFJ US Equity,AAPL US Equity,Apple Inc,AAPL
25,TER US Equity,110210.0,0.669796350334525,44104.0,8757286.6,USD,15190.0,NFJ US Equity,TER US Equity,Teradyne Inc,TER
26,BABA US Equity,46579.0,1.047324250707076,44104.0,13693294.42,USD,-14620.0,NFJ US Equity,BABA US Equity,Alibaba Group Holding Ltd,BABA
27,SUI US Equity,85437.0,0.9188305197265404,44104.0,12013296.57,USD,0.0,NFJ US Equity,SUI US Equity,Sun Communities Inc,SUI
28,BR US Equity,80039.0,0.8080696560900618,44104.0,10565148.0,USD,0.0,NFJ US Equity,BR US Equity,Broadridge Financial Solutions,BR
29,UNH US Equity,33297.0,0.7939856306591516,44104.0,10381005.69,USD,0.0,NFJ US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
30,CHD US Equity,134138.0,0.9614151871706788,44104.0,12570071.98,USD,0.0,NFJ US Equity,CHD US Equity,Church & Dwight Co Inc,CHD
31,ATO US Equity,119131.0,0.870984572599077,44104.0,11387732.29,USD,0.0,NFJ US Equity,ATO US Equity,Atmos Energy Corp,ATO
32,COST US Equity,29288.0,0.7952273031183127,44104.0,10397240.0,USD,0.0,NFJ US Equity,COST US Equity,Costco Wholesale Corp,COST
33,NSC US Equity,46670.0,0.7638436864047967,44104.0,9986913.3,USD,0.0,NFJ US Equity,NSC US Equity,Norfolk Southern Corp,NSC
34,AME US Equity,94517.0,0.7185707362221181,44104.0,9394989.8,USD,0.0,NFJ US Equity,AME US Equity,AMETEK Inc,AME
35,MS US Equity,169780.0,0.6278504665812948,44104.0,8208863.0,USD,0.0,NFJ US Equity,MS US Equity,Morgan Stanley,MS
36,AVY US Equity,69345.0,0.6780397079295163,44104.0,8865064.8,USD,0.0,NFJ US Equity,AVY US Equity,Avery Dennison Corp,AVY
37,RMD US Equity,49644.0,0.6509187859449648,44104.0,8510470.92,USD,1180.0,NFJ US Equity,RMD US Equity,ResMed Inc,RMD
38,INTU US Equity,29028.0,0.7242484898603788,44104.0,9469223.88,USD,0.0,NFJ US Equity,INTU US Equity,Intuit Inc,INTU
39,EP057815     Pfd,7675.0,0.7318649938107762,44104.0,9568806.25,USD,650.0,NFJ US Equity,EP057815     Pfd,AVGO 8 09/30/22,AVGO
40,AMT US Equity,44702.0,0.8264769006989034,44104.0,10805814.46,USD,11180.0,NFJ US Equity,AMT US Equity,American Tower Corp,AMT
41,SBUX US Equity,100957.0,0.6634434622353104,44104.0,8674225.44,USD,-4830.0,NFJ US Equity,SBUX US Equity,Starbucks Corp,SBUX
42,CABO US Equity,4894.0,0.7057446453765859,44104.0,9227294.42,USD,0.0,NFJ US Equity,CABO US Equity,Cable One Inc,CABO
43,A US Equity,86999.0,0.6716619945037684,44104.0,8781679.060000002,USD,0.0,NFJ US Equity,A US Equity,Agilent Technologies Inc,A
44,ORCL US Equity,167826.0,0.7663140503803025,44104.0,10019212.2,USD,0.0,NFJ US Equity,ORCL US Equity,Oracle Corp,ORCL
45,POOL US Equity,28869.0,0.7386743297039163,44104.0,9657835.26,USD,2720.0,NFJ US Equity,POOL US Equity,Pool Corp,POOL
46,AZ991540     Corp,4510.0,0.4788266693503657,44104.0,6260443.75,USD,0.0,NFJ US Equity,AZ991540     Corp,SNAP 0 ¾ 08/01/26,SNAP
47,GPN US Equity,49336.0,0.6700870127041053,44104.0,8761086.88,USD,0.0,NFJ US Equity,GPN US Equity,Global Payments Inc,GPN
48,DTE US Equity,74644.0,0.6567755713514684,44104.0,8587045.76,USD,0.0,NFJ US Equity,DTE US Equity,DTE Energy Co,DTE
49,C US Equity,165768.0,0.5465777320170326,44104.0,7146258.48,USD,0.0,NFJ US Equity,C US Equity,Citigroup Inc,C
50,WLTW US Equity,44351.0,0.7083513429048239,44104.0,9261375.82,USD,0.0,NFJ US Equity,WLTW US Equity,Willis Towers Watson PLC,WLTW
51,ACN US Equity,37497.0,0.6481252758842091,44104.0,8473947.03,USD,0.0,NFJ US Equity,ACN US Equity,Accenture PLC,ACN
52,ALL US Equity,89371.0,0.6434932935240245,44104.0,8413385.94,USD,0.0,NFJ US Equity,ALL US Equity,Allstate Corp/The,ALL
53,WM US Equity,77872.0,0.6740402926032041,44104.0,8812774.24,USD,0.0,NFJ US Equity,WM US Equity,Waste Management Inc,WM
54,CE US Equity,69051.0,0.5674787532599084,44104.0,7419529.95,USD,0.0,NFJ US Equity,CE US Equity,Celanese Corp,CE
55,V US Equity,41903.0,0.6408895307045768,44104.0,8379342.91,USD,0.0,NFJ US Equity,V US Equity,Visa Inc,V
56,EP031581     Pfd,6055.0,0.621521358266024,44104.0,8126112.75,USD,0.0,NFJ US Equity,EP031581     Pfd,WFC 7 ½ PERP,WFC
57,ANTM US Equity,27140.0,0.5575359759408287,44104.0,7289532.600000001,USD,0.0,NFJ US Equity,ANTM US Equity,Anthem Inc,ANTM
58,MA US Equity,25359.0,0.6559042045317108,44104.0,8575653.03,USD,-1710.0,NFJ US Equity,MA US Equity,Mastercard Inc,MA
59,LIN US Equity,34091.0,0.6209077295496788,44104.0,8118089.83,USD,0.0,NFJ US Equity,LIN US Equity,Linde PLC,LIN
60,ZS450102     Corp,930.0,0.4918663904751725,44104.0,6430932.25,USD,930.0,NFJ US Equity,ZS450102     Corp,TSLA 2 05/15/24,TSLA
61,BJ818753     Corp,7305.0,0.6039396731680665,44104.0,7896240.11,USD,0.0,NFJ US Equity,BJ818753     Corp,SPLK 1 ⅛ 06/15/27,SPLK
62,NDAQ US Equity,63881.0,0.5995492662148771,44104.0,7838837.51,USD,0.0,NFJ US Equity,NDAQ US Equity,Nasdaq Inc,NDAQ
63,AMGN US Equity,36157.0,0.7028664356582535,44104.0,9189663.120000001,USD,0.0,NFJ US Equity,AMGN US Equity,Amgen Inc,AMGN
64,CSCO US Equity,181786.0,0.5476708525307271,44104.0,7160550.54,USD,0.0,NFJ US Equity,CSCO US Equity,Cisco Systems Inc,CSCO
65,BJ986926     Corp,6150.0,0.5565176732922775,44104.0,7276218.75,USD,810.0,NFJ US Equity,BJ986926     Corp,COUP 0 ⅜ 06/15/26,COUP
66,LNT US Equity,146824.0,0.5800168242740071,44104.0,7583459.600000001,USD,0.0,NFJ US Equity,LNT US Equity,Alliant Energy Corp,LNT
67,EP056812     Pfd,5070.0,0.5722995344540772,44104.0,7482559.5,USD,0.0,NFJ US Equity,EP056812     Pfd,DHR 4 ¾ 04/15/22,DHR
68,KLAC US Equity,29825.0,0.4419498200566383,44104.0,5778295.5,USD,0.0,NFJ US Equity,KLAC US Equity,KLA Corp,KLAC
69,EP031115     Pfd,4995.0,0.5684753496182685,44104.0,7432560.0,USD,0.0,NFJ US Equity,EP031115     Pfd,BAC 7 ¼ PERP,BAC
70,BG481415     Corp,4260.0,0.496738388724181,44104.0,6494631.44,USD,0.0,NFJ US Equity,BG481415     Corp,SQ 0 ⅛ 03/01/25,SQ
71,EME US Equity,85817.0,0.4444258951268888,44104.0,5810669.07,USD,0.0,NFJ US Equity,EME US Equity,EMCOR Group Inc,EME
72,VRSN US Equity,36786.0,0.5763572339994772,44104.0,7535612.100000001,USD,0.0,NFJ US Equity,VRSN US Equity,VeriSign Inc,VRSN
73,JNJ US Equity,48920.0,0.5570523646903799,44104.0,7283209.600000001,USD,0.0,NFJ US Equity,JNJ US Equity,Johnson & Johnson,JNJ
74,BG364222     Corp,6145.0,0.5028968074314312,44104.0,6575150.0,USD,965.0,NFJ US Equity,BG364222     Corp,RNG 0 03/01/25,RNG
75,ZR459517     Corp,5200.0,0.5084605319156401,44104.0,6647893.2,USD,0.0,NFJ US Equity,ZR459517     Corp,PODD 0 ⅜ 09/01/26,PODD
76,BJ429935     Corp,7060.0,0.5720416288496942,44104.0,7479187.5,USD,0.0,NFJ US Equity,BJ429935     Corp,DXCM 0 ¼ 11/15/25,DXCM
77,BJ519811     Corp,5845.0,0.5612952874211862,44104.0,7338683.91,USD,690.0,NFJ US Equity,BJ519811     Corp,TDOC 1 ¼ 06/01/27,TDOC
78,ICE US Equity,62844.0,0.4808992797077477,44104.0,6287542.2,USD,0.0,NFJ US Equity,ICE US Equity,Intercontinental Exchange Inc,ICE
79,QZ123790     Corp,6545.0,0.4607920952804792,44104.0,6024649.79,USD,0.0,NFJ US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
80,CONE US Equity,96059.0,0.5145118731415498,44104.0,6727011.77,USD,0.0,NFJ US Equity,CONE US Equity,CyrusOne Inc,CONE
81,PLD US Equity,67270.0,0.5177009409515377,44104.0,6768707.4,USD,0.0,NFJ US Equity,PLD US Equity,Prologis Inc,PLD
82,AX541821     Corp,4915.0,0.4418537288033564,44104.0,5777039.15,USD,0.0,NFJ US Equity,AX541821     Corp,EXAS 0 ⅜ 03/15/27,EXAS
83,ZS808771     Corp,3760.0,0.4120371525078594,44104.0,5387200.800000001,USD,0.0,NFJ US Equity,ZS808771     Corp,MTCH 0 ⅞ 06/15/26,MTCH
84,BK892481     Corp,6470.0,0.5058337977530071,44104.0,6613549.83,USD,0.0,NFJ US Equity,BK892481     Corp,W 0 ⅝ 10/01/25,W
85,ZP436954     Corp,4355.0,0.4358744267621016,44104.0,5698862.46,USD,430.0,NFJ US Equity,ZP436954     Corp,MDB 0 ¼ 01/15/26,MDB
86,ZO086409     Corp,6000.0,0.4595951295187897,44104.0,6009000.0,USD,1440.0,NFJ US Equity,ZO086409     Corp,CHGG 0 09/01/26,CHGG
87,AS684473     Corp,4870.0,0.4808230713550931,44104.0,6286545.810000001,USD,0.0,NFJ US Equity,AS684473     Corp,AKAM 0 ⅛ 05/01/25,AKAM
88,CVX US Equity,66040.0,0.3636744365861712,44104.0,4754880.0,USD,0.0,NFJ US Equity,CVX US Equity,Chevron Corp,CVX
89,EP059336     Pfd,119980.0,0.4381829220825386,44104.0,5729045.0,USD,119980.0,NFJ US Equity,EP059336     Pfd,NEE 6.219 09/01/23,NEE
90,EP058950     Pfd,40875.0,0.3545852143854408,44104.0,4636042.5,USD,0.0,NFJ US Equity,EP058950     Pfd,APTV 5 ½ 06/15/23,APTV
91,MPC US Equity,143770.0,0.3226276582723726,44104.0,4218211.8,USD,0.0,NFJ US Equity,MPC US Equity,Marathon Petroleum Corp,MPC
92,MDLZ US Equity,98258.0,0.4317488273711064,44104.0,5644922.100000001,USD,0.0,NFJ US Equity,MDLZ US Equity,Mondelez International Inc,MDLZ
