,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AAPL US Equity,495387.0,7.596294506489616,44104.0,57370768.47,USD,-73837.0,CII US Equity,AAPL US Equity,Apple Inc,AAPL
2,MSFT US Equity,244021.0,6.795783756167717,44104.0,51324936.93,USD,-10832.0,CII US Equity,MSFT US Equity,Microsoft Corp,MSFT
3,GOOGL US Equity,25418.0,4.9325098178414,44104.0,37252620.8,USD,-1310.0,CII US Equity,GOOGL US Equity,Alphabet Inc,GOOGL
4,AMZN US Equity,11377.0,4.743231338608292,44104.0,35823101.21,USD,-220.0,CII US Equity,AMZN US Equity,Amazon.com Inc,AMZN
5,FB US Equity,98439.0,3.413609341647405,44104.0,25781174.1,USD,-12228.0,CII US Equity,FB US Equity,Facebook Inc,FB
6,V US Equity,110736.0,2.932005665638467,44104.0,22143877.92,USD,-4310.0,CII US Equity,V US Equity,Visa Inc,V
7,BRK/B US Equity,96278.0,2.714534942485445,44104.0,20501437.32,USD,6074.0,CII US Equity,BRK/B US Equity,Berkshire Hathaway Inc,BRK/B
8,UNH US Equity,63380.0,2.616361106461407,44104.0,19759982.6,USD,-2550.0,CII US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
9,CMCSA US Equity,414267.0,2.537447669404735,44104.0,19163991.42,USD,-47477.0,CII US Equity,CMCSA US Equity,Comcast Corp,CMCSA
10,PWR US Equity,292572.0,2.047722234667892,44104.0,15465355.92,USD,-71849.0,CII US Equity,PWR US Equity,Quanta Services Inc,PWR
11,CTVA US Equity,504892.0,1.925984884253228,44104.0,14545938.52,USD,-4661.0,CII US Equity,CTVA US Equity,Corteva Inc,CTVA
12,GM US Equity,420660.0,1.648114230701479,44104.0,12447329.4,USD,81165.0,CII US Equity,GM US Equity,General Motors Co,GM
13,DLTR US Equity,163332.0,1.975347076532965,44104.0,14918744.88,USD,3595.0,CII US Equity,DLTR US Equity,Dollar Tree Inc,DLTR
14,AMAT US Equity,206050.0,1.621943062636597,44104.0,12249672.5,USD,206050.0,CII US Equity,AMAT US Equity,Applied Materials Inc,AMAT
15,TSM US Equity,173365.0,1.860941511253241,44104.0,14054700.55,USD,-44473.0,CII US Equity,TSM US Equity,Taiwan Semiconductor Manufactu,TSM
16,JPM US Equity,135043.0,1.721369785855493,44104.0,13000589.61,USD,-4190.0,CII US Equity,JPM US Equity,JPMorgan Chase & Co,JPM
17,CTSH US Equity,207147.0,1.904032618076373,44104.0,14380144.74,USD,-10630.0,CII US Equity,CTSH US Equity,Cognizant Technology Solutions,CTSH
18,CSCO US Equity,361489.0,1.88535090546774,44104.0,14239051.71,USD,-18050.0,CII US Equity,CSCO US Equity,Cisco Systems Inc,CSCO
19,UN US Equity,246508.0,1.971419660832492,44104.0,14889083.2,USD,-14090.0,CII US Equity,UN US Equity,Unilever NV,UN
20,ANTM US Equity,44960.0,1.598921964340077,44104.0,12075806.4,USD,-250.0,CII US Equity,ANTM US Equity,Anthem Inc,ANTM
21,NSC US Equity,57720.0,1.635426112787628,44104.0,12351502.8,USD,6892.0,CII US Equity,NSC US Equity,Norfolk Southern Corp,NSC
22,BAC US Equity,467485.0,1.49113034066971,44104.0,11261713.65,USD,-13450.0,CII US Equity,BAC US Equity,Bank of America Corp,BAC
23,KO US Equity,256576.0,1.677220971753472,44104.0,12667157.12,USD,256576.0,CII US Equity,KO US Equity,Coca-Cola Co/The,KO
24,WMT US Equity,85517.0,1.584208504415875,44104.0,11964683.47,USD,-8423.0,CII US Equity,WMT US Equity,Walmart Inc,WMT
25,LH US Equity,64585.0,1.609992723454559,44104.0,12159417.95,USD,-12854.0,CII US Equity,LH US Equity,Laboratory Corp of America Hol,LH
26,SNY US Equity,246222.0,1.635618757108491,44104.0,12352957.74,USD,-22320.0,CII US Equity,SNY US Equity,Sanofi,SNY
27,FLT US Equity,45524.0,1.43519507951448,44104.0,10839264.4,USD,39488.0,CII US Equity,FLT US Equity,FleetCor Technologies Inc,FLT
28,PFE US Equity,291662.0,1.417284509567423,44104.0,10703995.4,USD,-101852.0,CII US Equity,PFE US Equity,Pfizer Inc,PFE
