,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,TRGP US Equity,71375.0,7.902227722772277,43982.0,1277000.0,USD,-250000.0,DSE US Equity,TRGP US Equity,Targa Resources Corp,TRGP
2,EPD US Equity,85500.0,10.10519801980198,43982.0,1633000.0,USD,-382500.0,DSE US Equity,EPD US Equity,Enterprise Products Partners L,EPD
3,ET US Equity,218092.0,11.01485148514852,43982.0,1780000.0,USD,-1190000.0,DSE US Equity,ET US Equity,Energy Transfer LP,ET
4,MPLX US Equity,59395.0,6.980198019801981,43982.0,1128000.0,USD,-430000.0,DSE US Equity,MPLX US Equity,MPLX LP,MPLX
5,WMB US Equity,50617.0,6.398514851485149,43982.0,1034000.0,USD,-275000.0,DSE US Equity,WMB US Equity,Williams Cos Inc/The,WMB
6,PAA US Equity,120000.0,7.202970297029703,43982.0,1164000.0,USD,-295000.0,DSE US Equity,PAA US Equity,Plains All American Pipeline L,PAA
7,AM US Equity,131564.0,3.892326732673267,43982.0,629000.0,USD,-473436.0,DSE US Equity,AM US Equity,Antero Midstream Corp,AM
8,TRP CN Equity,14700.0,4.096534653465347,43982.0,662000.0,USD,14700.0,DSE US Equity,TRP CN Equity,TC Energy Corp,TRP
9,HESM US Equity,41361.0,4.969059405940595,43982.0,803000.0,USD,-180000.0,DSE US Equity,HESM US Equity,Hess Midstream LP,HESM
10,LNG US Equity,13200.0,3.626237623762376,43982.0,586000.0,USD,13200.0,DSE US Equity,LNG US Equity,Cheniere Energy Inc,LNG
11,GEL US Equity,115000.0,5.705445544554456,43982.0,922000.0,USD,-260000.0,DSE US Equity,GEL US Equity,Genesis Energy LP,GEL
12,RTLR US Equity,77000.0,4.00990099009901,43982.0,648000.0,USD,77000.0,DSE US Equity,RTLR US Equity,Rattler Midstream LP,RTLR
13,MMP US Equity,16000.0,4.486386138613861,43982.0,725000.0,USD,-66000.0,DSE US Equity,MMP US Equity,Magellan Midstream Partners LP,MMP
14,NS US Equity,40000.0,4.300742574257425,43982.0,695000.0,USD,-175000.0,DSE US Equity,NS US Equity,NuStar Energy LP,NS
15,SUN US Equity,20500.0,3.273514851485149,43982.0,529000.0,USD,-182500.0,DSE US Equity,SUN US Equity,Sunoco LP,SUN
16,KMI US Equity,35500.0,3.471534653465347,43982.0,561000.0,USD,35500.0,DSE US Equity,KMI US Equity,Kinder Morgan Inc,KMI
17,USAC US Equity,42000.0,3.131188118811881,43982.0,506000.0,USD,-238000.0,DSE US Equity,USAC US Equity,USA Compression Partners LP,USAC
18,ETRN US Equity,52000.0,2.599009900990099,43982.0,420000.0,USD,52000.0,DSE US Equity,ETRN US Equity,Equitrans Midstream Corp,ETRN
19,ENB US Equity,12500.0,2.512376237623763,43982.0,406000.0,USD,12500.0,DSE US Equity,ENB US Equity,Enbridge Inc,ENB
20,CQP US Equity,10000.0,2.08539603960396,43982.0,337000.0,USD,-135000.0,DSE US Equity,CQP US Equity,Cheniere Energy Partners LP,CQP
21,PSXP US Equity,12500.0,3.459158415841585,43982.0,559000.0,USD,-67500.0,DSE US Equity,PSXP US Equity,Phillips 66 Partners LP,PSXP
